name,account_number,cluster,balance,merchant_id,idp_id,account_name
Bank of Trinidad and Tobago,4000001,NORMAL_CLUSTER,149937.0,None,None,None
Bank of Trinidad and Tobago,4000002,NORMAL_CLUSTER,74143.25,None,None,None
Bank of Trinidad and Tobago,4000003,NORMAL_CLUSTER,462576.25,None,None,None
Bank of Trinidad and Tobago,4000004,NORMAL_CLUSTER,496739.0,None,None,None
Bank of Trinidad and Tobago,4000005,NORMAL_CLUSTER,393933.5,None,None,None
Bank of Trinidad and Tobago,4000006,NORMAL_CLUSTER,333782.75,None,None,None
Bank of Trinidad and Tobago,4000007,NORMAL_CLUSTER,472140.0,None,None,None
Bank of Trinidad and Tobago,4000008,NORMAL_CLUSTER,372277.25,None,None,None
Bank of Trinidad and Tobago,4000009,NORMAL_CLUSTER,462862.75,None,None,None
Bank of Trinidad and Tobago,4000010,NORMAL_CLUSTER,453923.25,None,None,None
Bank of Trinidad and Tobago,4000011,NORMAL_CLUSTER,158214.75,None,None,None
Bank of Trinidad and Tobago,4000012,NORMAL_CLUSTER,98210.25,None,None,None
Bank of Trinidad and Tobago,4000013,NORMAL_CLUSTER,301028.5,None,None,None
Bank of Trinidad and Tobago,4000014,NORMAL_CLUSTER,366252.5,None,None,None
Bank of Trinidad and Tobago,4000015,NORMAL_CLUSTER,415405.25,None,None,None
Bank of Trinidad and Tobago,4000016,NORMAL_CLUSTER,50122.5,None,None,None
Bank of Trinidad and Tobago,4000017,NORMAL_CLUSTER,143428.25,None,None,None
Bank of Trinidad and Tobago,4000018,NORMAL_CLUSTER,157108.5,None,None,None
Bank of Trinidad and Tobago,4000019,NORMAL_CLUSTER,410883.5,None,None,None
Bank of Trinidad and Tobago,4000020,NORMAL_CLUSTER,71790.0,None,None,None
